key,de,en,nl,fr
{{first_name}} {{last_name}} is an adult at the start of the tournament. For adults we need following information.,{{first_name}} {{last_name}} ist ein Erwachsener zu Beginn des Turniers. Für Erwachsene benötigen wir folgende Informationen.,{{first_name}} {{last_name}} is an adult at the start of the tournament. For adults we need following information.,{{first_name}} {{last_name}} is een volwassene bij het begin van het toernooi.\nVoor volwassenen hebben we de volgende informatie nodig.,{{first_name}} {{last_name}} is an adult at the start of the tournament. For adults we need following information
{{first_name}} is a minor at the start of a tournament. For minors we need following information.,{{first_name}} {{last_name}} ist zu Beginn des Turniers noch minderjährig. Bei Minderjährige benötigen wir folgende Angaben.,{{first_name}} is a minor at the start of a tournament. For minors we need following information.,{{first_name}} is nog minderjarig bij de start van het toernooi. Voor minderjarigen hebben we het volgende nodig.,{{first_name}} {{last_name}} est toujours un mineur au début du tournoi. Pour des mineurs on a besoin des informations suivantes.
A parent is present at site,Ein Elternteil ist vor Ort,A parent is present at site,Een ouder is ter plaatse.,Un parent est sur place pendant le tournoi
A photo for your badge,Ein Foto für Ihr Abzeichen,A photo for your badge,Een foto voor je badge,Une photo pour le badge
About Bycco,Über Bycco,About Bycco,Over Bycco,Concernant Bycco
After the game the parent is picking up the player,Der Elternteil holt den Spieler nach dem Spiel ab,After the game the parent is picking up the player,De ouder haalt de speler na de partij op,Après la partie le parent vient chercher le joueur
Although optional it is recommended to provide the details of a club or league representative that is at site during the tournament,"Obgleich es wahlweise freigestellt ist, empfiehlt es sich, die Angaben eines Klubvertreters zur Verfügung zu stellen, der während des Turniers zur Ort ist",Although optional it is recommended to provide the details of a club or league representative that is at site during the tournament,"Hoewel optioneel, is het aangeraden om de details te geven van een club- of ligaverantwoordelijke die tijdens het toernooi ter plaatse is.",Bien que facultative
Back,Zurück,Back,Terug,Retour
Badge image,Abzeichen Bild,Badge image,Badgefoto,Photo du badge
BEL rating,Elo BEL,BEL Rating,BEL rating,Elo BEL
Belgian id,ID-Nummer,Belgian id,Stamnummer,Matricule
Belgian rating,Belgische Elo,Belgian rating,Belgische rating,Elo belge
Belgian Youth Chess Championships 2020,Belgische Schach-Jugend-Landesmeisterschaft 2020,Belgian Youth Championships Chess 2020\n,Belgisch Jeugdkampioenschappen Schaken 2020,Championnats de Belgique d'échecs de la jeunesse 2020
Birthdate,Geburtsdatum,Birthdate,Geboortedatum,Date de naissance
black,Schwarz,black,zwart,Noirs
Boys,Jungen,Boys,Jongens,Garçons
BYC 2020,BJLM 2020,BYC 2020,BJK 2020,CBJ 2020
